Assay_Plate_Barcode,Plate_Map_Name
2024_01_17_B7A1R1_P1T1,B7A1R1_P1
2024_01_17_B7A1R1_P1T2,B7A1R1_P1
2024_01_17_B7A1R1_P1T3,B7A1R1_P1
2024_01_17_B7A1R1_P1T4,B7A1R1_P1
2024_01_17_B7A1R1_P2T1,B7A1R1_P2
2024_01_17_B7A1R1_P2T2,B7A1R1_P2
2024_01_17_B7A1R1_P2T3,B7A1R1_P2
2024_01_17_B7A1R1_P2T4,B7A1R1_P2
2024_01_18_B7A1R1_P3T1,B7A1R1_P3
2024_01_19_B7A1R1_P3T2,B7A1R1_P3
2024_01_19_B7A1R1_P3T3,B7A1R1_P3
2024_01_19_B7A1R1_P3T4,B7A1R1_P3
2024_01_19_B7A1R1_P4T1,B7A1R1_P4
2024_01_23_B7A1R1_P4T2,B7A1R1_P4
2024_01_22_B7A1R1_P4T3,B7A1R1_P4
2024_01_22_B7A1R1_P4T4,B7A1R1_P4
